Indicator,Model,MAPE,CI_Lower_95,CI_Upper_95,CI_Width,N_Predictions
Real GDP (combined),XGBoost,6.851155109056426,4.08075276309318,10.895987189723384,6.815234426630203,12
Real GDP (combined),RandomForest,6.832363312845328,4.734200257574837,8.796836217181548,4.062635959606711,12
Real GDP (combined),LSTM,31.52271722090607,19.20990356648002,44.32823561657145,25.11833205009143,12
Real GDP (combined),GRU,15.782695404813577,9.976007309155218,22.371994379781682,12.395987070626465,12
Real GDP (combined),Transformer,9.434550148138754,4.784143684634556,15.504732368703527,10.720588684068971,12
Real GDP (combined),sLSTM,68.28374217304584,64.69852997042881,71.73836844144975,7.039838471020943,12
Real GDP (combined),mLSTM,24.817940944531184,17.95381055223697,32.218390476089894,14.264579923852924,12
CPI,XGBoost,2.3518729200221427,1.1859410410358844,3.7887726019872674,2.6028315609513832,12
CPI,RandomForest,2.2736584997281772,1.22116844104246,3.4705648959967066,2.2493964549542467,12
CPI,LSTM,20.329273968427643,7.981766105416572,34.50344390464122,26.52167779922465,12
CPI,GRU,10.611114321371291,5.519058485595617,16.335629743848088,10.81657125825247,12
CPI,Transformer,17.56435026957447,6.902983615876923,29.406621117966434,22.50363750208951,12
CPI,sLSTM,25.529731966382446,12.071328152677944,40.83199263430699,28.76066448162905,12
CPI,mLSTM,26.469643190146712,15.96912741674276,38.31960985003393,22.35048243329117,12
Unemployment Rate,XGBoost,3.5077304144711206,2.366118426678107,4.708423006235231,2.342304579557124,12
Unemployment Rate,RandomForest,4.191164101716374,2.9749694610003914,5.493851122991647,2.518881661991256,12
Unemployment Rate,LSTM,18.72114261262339,14.442603001575396,22.395172496805223,7.952569495229827,12
Unemployment Rate,GRU,9.609648451880492,6.1404514431480814,13.440426909911745,7.299975466763663,12
Unemployment Rate,Transformer,14.351372844028475,9.666687922652967,19.229331833770086,9.562643911117119,12
Unemployment Rate,sLSTM,21.321615495311192,17.543319221556747,24.69683378040034,7.153514558843593,12
Unemployment Rate,mLSTM,24.75389900884656,18.549680567663906,30.22775280641142,11.678072238747514,12
Housing Starts,XGBoost,4.553180999605714,2.3525079225979844,7.102681622411559,4.750173699813574,12
Housing Starts,RandomForest,6.590530131129762,3.970016150796013,10.222249061658308,6.252232910862295,12
Housing Starts,LSTM,12.431196931958356,5.389278809888044,24.872420351088373,19.48314154120033,12
Housing Starts,GRU,14.626523599120453,4.923619543410645,28.245885859932937,23.322266316522292,12
Housing Starts,Transformer,19.664858118349095,10.488720791923551,32.361770584323295,21.873049792399744,12
Housing Starts,sLSTM,22.340747496392453,13.318847110934593,33.63495103765082,20.31610392671623,12
Housing Starts,mLSTM,12.32250937551676,3.9717328798537044,26.737259762180425,22.76552688232672,12
Auto Sales,XGBoost,0.6581679964098961,0.37734526822099296,0.949540212579772,0.572194944358779,12
Auto Sales,RandomForest,0.5793263152370498,0.3995691482219217,0.7958369741200726,0.3962678258981509,12
Auto Sales,LSTM,32.22342207113111,23.069810943493252,41.443706556223056,18.373895612729804,12
Auto Sales,GRU,23.45017095815703,15.14313764958447,32.39795868160105,17.25482103201658,12
Auto Sales,Transformer,22.98616180949543,9.460666381338134,37.67016048988019,28.209494108542053,12
Auto Sales,sLSTM,79.36304617437742,76.15824984793973,82.8436689791674,6.685419131227675,12
Auto Sales,mLSTM,27.368948946517307,12.209758698568786,45.3396733932698,33.129914694701014,12
3-Month Treasury,XGBoost,3.1175570263249295,1.6774493284998546,4.662371059552982,2.9849217310531277,12
3-Month Treasury,RandomForest,3.3003297870053507,1.876407647355614,4.803702585812122,2.927294938456508,12
3-Month Treasury,LSTM,5.928880707605657,4.895393103488836,6.964682851472525,2.0692897479836896,12
3-Month Treasury,GRU,3.15243219868945,1.5119081259480411,5.231460737065539,3.7195526111174972,12
3-Month Treasury,Transformer,8.9906343967679,6.448032685120885,11.853003277822962,5.404970592702077,12
3-Month Treasury,sLSTM,18.971002600771914,15.575292609044789,22.886141133537322,7.310848524492533,12
3-Month Treasury,mLSTM,7.978681874348294,6.5001946527227314,9.348079749464304,2.8478850967415728,12
Personal Income,XGBoost,4.478334171300727,3.1945449170335385,5.818578864852884,2.6240339478193455,12
Personal Income,RandomForest,3.9129284811873304,2.3804127434210107,5.553788182967361,3.1733754395463505,12
Personal Income,LSTM,17.854751995406538,12.433736137988006,23.843593859247648,11.409857721259641,12
Personal Income,GRU,8.227219963508453,4.584142803192352,12.694717409366802,8.11057460617445,12
Personal Income,Transformer,18.254098373141233,11.25643297574978,26.000266621968617,14.743833646218837,12
Personal Income,sLSTM,60.49310673987649,41.477130464997664,78.85624507304486,37.379114608047196,12
Personal Income,mLSTM,16.594251269842832,10.356424441545874,23.17653295621822,12.820108514672347,12
Industrial Production,XGBoost,5.697446426852998,3.3041042287459326,8.69847300330295,5.394368774557018,12
Industrial Production,RandomForest,7.553472440919941,4.638195349966306,10.894658002700588,6.256462652734282,12
Industrial Production,LSTM,23.21198554182989,16.188152094768405,32.02346594188984,15.835313847121434,12
Industrial Production,GRU,20.02156762907044,12.074566633687278,28.506469680552506,16.43190304686523,12
Industrial Production,Transformer,27.1959897116486,15.980116644882301,40.697625704947804,24.717509060065503,12
Industrial Production,sLSTM,30.957461195264173,14.796073277357939,48.83457351406609,34.03850023670815,12
Industrial Production,mLSTM,34.98902803267902,20.088153777056643,50.36241776626458,30.274263989207935,12
Corporate Profits,XGBoost,1.5940731000332706,1.0010115776704547,2.2751826736917464,1.2741710960212917,12
Corporate Profits,RandomForest,0.9094174888371248,0.5250183145131079,1.3491881763707292,0.8241698618576213,12
Corporate Profits,LSTM,48.4409222392961,37.84058123603872,62.63393927797232,24.793358041933594,12
Corporate Profits,GRU,29.5421924264278,23.385163574344475,37.460487991777015,14.07532441743254,12
Corporate Profits,Transformer,46.67230844552411,43.70360235021508,49.784730024115824,6.081127673900745,12
Corporate Profits,sLSTM,82.9018475077569,69.6528474615386,91.53544122721362,21.882593765675026,12
Corporate Profits,mLSTM,55.92153123636009,45.408757488467046,67.48385087205236,22.075093383585312,12
