Model,h=1,h=3,h=6,h=12,Mean
Ridge,0.23,0.26,0.26,0.26,0.2525
ElasticNet,5.16,5.16,5.65,5.65,5.405
GradientBoosting,13.92,13.92,14.93,14.93,14.424999999999999
SVR,17.65,17.65,18.77,18.77,18.209999999999997
KNN,20.79,22.36,22.36,22.36,21.967499999999998
CatBoost,26.56,26.56,28.14,28.14,27.349999999999998
AdaBoost,39.99,39.99,45.57,45.57,42.78
Seasonal-Naive,43.6,43.6,44.27,44.27,43.935
Naive,46.58,46.58,48.74,48.74,47.660000000000004
ETS,60.1,60.1,64.22,64.22,62.160000000000004
Theta,63.92,63.92,65.34,65.34,64.63
SARIMA,81.93,78.96,87.52,,82.80333333333333
